iter	Passed	Remaining
0	61	61515
1	64	32064
2	67	22278
3	70	17448
4	72	14476
5	76	12673
6	79	11299
7	82	10196
8	85	9363
9	87	8689
10	91	8247
11	95	7826
12	97	7411
13	100	7067
14	103	6769
15	106	6570
16	111	6424
17	113	6206
18	116	6017
19	119	5858
20	122	5707
21	126	5637
22	130	5523
23	132	5394
24	135	5285
25	138	5186
26	141	5099
27	145	5049
28	148	4967
29	151	4885
30	154	4820
31	156	4743
32	160	4693
33	162	4623
34	165	4559
35	168	4500
36	171	4453
37	174	4416
38	177	4374
39	180	4322
40	183	4293
41	186	4250
42	189	4214
43	193	4202
44	195	4156
45	198	4124
46	202	4102
47	204	4060
48	207	4034
49	210	4006
50	213	3979
51	216	3947
52	219	3916
53	221	3881
54	224	3859
55	227	3835
56	230	3816
57	233	3787
58	235	3763
59	238	3735
60	241	3712
61	243	3685
62	245	3656
63	248	3637
64	251	3613
65	253	3589
66	256	3573
67	259	3550
68	261	3529
69	264	3510
70	266	3491
71	269	3470
72	271	3449
73	274	3432
74	276	3412
75	279	3394
76	282	3388
77	285	3371
78	288	3357
79	290	3341
80	293	3330
81	296	3317
82	299	3308
83	301	3291
84	304	3278
85	307	3264
86	309	3252
87	312	3239
88	315	3227
89	317	3212
90	320	3199
91	322	3186
92	325	3173
93	327	3160
94	330	3148
95	333	3137
96	336	3129
97	338	3118
98	341	3106
99	343	3094
100	346	3086
101	349	3079
102	352	3070
103	355	3065
104	358	3055
105	361	3048
106	364	3040
107	367	3031
108	369	3020
109	372	3010
110	374	2999
111	377	2989
112	380	2983
113	382	2975
114	385	2965
115	388	2957
116	390	2949
117	393	2941
118	396	2937
119	399	2932
120	402	2927
121	405	2917
122	407	2908
123	410	2899
124	413	2891
125	415	2883
126	418	2878
127	421	2872
128	424	2863
129	426	2854
130	429	2847
131	431	2838
132	434	2830
133	436	2822
134	439	2814
135	441	2807
136	444	2799
137	446	2791
138	449	2784
139	452	2777
140	454	2769
141	457	2761
142	459	2755
143	462	2749
144	465	2743
145	467	2735
146	470	2731
147	473	2724
148	475	2717
149	478	2710
150	481	2707
151	484	2701
152	487	2696
153	489	2688
154	491	2681
155	494	2675
156	497	2669
157	499	2663
158	502	2657
159	505	2653
160	508	2647
161	510	2642
162	513	2636
163	516	2630
164	518	2624
165	521	2621
166	524	2615
167	527	2611
168	529	2605
169	532	2598
170	534	2593
171	537	2588
172	540	2582
173	542	2577
174	545	2571
175	548	2565
176	551	2562
177	553	2556
178	556	2550
179	558	2545
180	561	2541
181	564	2536
182	567	2532
183	570	2528
184	573	2524
185	575	2518
186	578	2514
187	581	2509
188	583	2503
189	586	2499
190	589	2495
191	591	2490
192	594	2487
193	597	2483
194	600	2478
195	603	2475
196	606	2470
197	608	2466
198	611	2462
199	614	2459
200	617	2455
201	621	2453
202	624	2450
203	627	2448
204	630	2444
205	633	2441
206	636	2439
207	639	2436
208	643	2434
209	647	2434
210	650	2430
211	653	2427
212	655	2422
213	658	2417
214	660	2412
215	663	2409
216	666	2404
217	669	2400
218	671	2395
219	674	2390
220	677	2386
221	679	2381
222	682	2376
223	684	2372
224	687	2367
225	689	2362
226	692	2358
227	695	2353
228	698	2350
229	700	2346
230	703	2341
231	706	2337
232	708	2333
233	711	2330
234	715	2327
235	718	2324
236	720	2319
237	723	2316
238	726	2311
239	728	2307
240	731	2303
241	734	2300
242	736	2295
243	739	2290
244	741	2285
245	744	2281
246	747	2277
247	749	2272
248	752	2269
249	755	2265
250	757	2260
251	760	2256
252	763	2252
253	765	2248
254	768	2246
255	771	2242
256	774	2239
257	777	2236
258	780	2232
259	783	2229
260	786	2226
261	788	2222
262	791	2218
263	794	2214
264	796	2209
265	799	2205
266	802	2202
267	804	2198
268	807	2194
269	810	2190
270	812	2186
271	815	2182
272	818	2179
273	820	2175
274	823	2171
275	826	2168
276	829	2164
277	831	2160
278	835	2159
279	838	2156
280	841	2153
281	844	2151
282	847	2147
283	850	2144
284	853	2140
285	855	2135
286	858	2131
287	861	2129
288	863	2124
289	867	2122
290	869	2119
